Number | Binary | Hexadecimal
-39 | b100111 | x27
-36 | b100100 | x24
8 | 1000 | 8
34 | 100010 | 22
17 | 10001 | 11
49 | 110001 | 31
5 | 101 | 5
0 | 0 | 0
33 | 100001 | 21
12 | 1100 | c
-6 | b110 | x6
27 | 11011 | 1b
-4 | b100 | x4
-38 | b100110 | x26
26 | 11010 | 1a
49 | 110001 | 31
29 | 11101 | 1d
42 | 101010 | 2a
-16 | b10000 | x10
34 | 100010 | 22
20 | 10100 | 14
0 | 0 | 0
25 | 11001 | 19
45 | 101101 | 2d
3 | 11 | 3
-46 | b101110 | x2e
-46 | b101110 | x2e
29 | 11101 | 1d
33 | 100001 | 21
29 | 11101 | 1d
26 | 11010 | 1a
-5 | b101 | x5
-36 | b100100 | x24
12 | 1100 | c
45 | 101101 | 2d
-50 | b110010 | x32
0 | 0 | 0
-6 | b110 | x6
Execution Time: 0.0110 seconds
